
           Date      Unit Type   Sales Person     Units Sold      Cost/Unit    Sales Total        Profits
       1/5/2020              1      John Doe2            293          75.55        19922.5        4980.63
       1/6/2020              0      John Doe2            285            350          89775        22443.8
       1/6/2020              0      John Doe1            256            350          80640          20160
       1/8/2020              1      John Doe1            192          75.55          13055        3263.76
       1/9/2020              1      John Doe4            178          75.55        12103.1        3025.78
       1/9/2020              1      John Doe3            202          75.55          13735        3433.75
      1/10/2020              0      John Doe3            258            350          81270        20317.5
      1/10/2020              1      John Doe4            511          75.55        34745.4        8686.36
      1/11/2020              1      John Doe5            251          75.55        17066.7        4266.69
      1/12/2020              1      John Doe3            358          75.55        24342.2        6085.55
      1/15/2020              0      John Doe2            392            350         123480          30870
